Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,39,0.05,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,26.98,847,0,0,0,0,0,0,1,1,0,0.47,0.94,0.47,0.47,0,1,0,3.66
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,19.63,17097,0,0,0,1,0,0,1,1,0,2.62,0.58,1.89,0.3,0,1,1,1.13
0,67,0.09,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,22268,0,0,0,1,1,0,1,1,0,3.91,0.57,1.55,0.33,1,1,1,1.94
0,41,0.02,0,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,24374,0,0,0,1,0,0,1,1,0,2.19,0.65,1.43,0.07,1,1,1,1.3
0,41,0.05,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75,3567,0,0,0,1,0,0,0,1,0,2.86,0.81,1.63,0.0,1,1,0,1.93
0,55,0.05,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3.18,40222,0,0,0,1,0,0,1,1,0,0.7,0.77,1.88,0.56,1,1,0,1.33
0,33,0.12,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,43934,0,0,0,1,1,0,1,1,0,0.85,0.45,1.77,0.24,1,1,0,1.16
0,50,0.04,0,1,0,0,36,0,0,0,0,0,0,0,1,0,0,1,0,0,7.37,53399,0,0,0,1,0,0,1,1,0,1.63,0.31,2.63,0.08,1,1,1,0.88
0,48,0.1,0,1,0,0,47,0,1,0,0,0,0,1,1,0,0,3,0,1,14.13,83808,0,1,0,1,1,0,1,1,0,3.06,0.24,2.37,0.24,1,1,0,1.7
0,37,0.03,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27.05,5478,0,0,0,1,0,0,1,1,0,2.7,1.1,1.7,0.02,0,1,1,1.5
0,67,0.09,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,22680,0,0,0,1,1,0,1,1,0,3.86,0.56,1.42,0.34,1,1,1,1.92
0,43,0.05,0,0,0,0,53,0,0,0,0,0,0,0,1,0,0,1,0,0,2.18,51141,0,0,0,1,0,0,1,1,0,3.72,0.51,3.1,0.38,0,1,0,1.85
0,29,0.03,0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,12.92,104938,0,0,0,1,1,0,1,1,0,1.2,0.37,1.27,0.37,1,1,1,0.66
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,29.38,17125,0,0,0,1,0,0,1,1,0,2.62,0.58,1.91,0.3,0,1,1,1.13
0,48,0.1,0,1,0,0,45,0,1,0,0,0,0,1,0,0,0,0,0,1,16.13,70328,0,1,0,1,1,0,1,1,0,3.07,0.25,2.36,0.25,1,1,0,1.7
0,48,0.04,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,6.42,2426,0,1,1,1,0,0,1,1,0,1.24,1.32,0.66,0.16,0,1,1,3.05
0,30,0.0,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,15.53,16377,0,0,0,1,0,0,1,1,0,3.91,0.82,1.01,0.02,0,1,1,2.77
0,29,0.07,0,1,0,0,107,0,1,0,0,0,0,1,0,1,0,0,2,1,2.47,21526,0,1,0,1,0,0,1,1,1,1.95,0.7,3.6,1.0,0,1,0,0.98
0,28,0.04,0,1,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,21.45,1583,0,0,1,0,0,0,1,1,0,1.77,1.26,0.63,0.06,0,1,1,2.02
0,23,0.04,0,0,1,0,20,1,1,0,0,0,0,1,0,0,0,0,0,1,5.32,26066,0,1,1,1,0,0,1,1,0,2.88,0.53,1.32,0.34,0,1,0,1.25
0,48,0.04,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,14.77,10243,0,0,1,1,0,0,1,1,0,1.93,0.87,2.5,0.05,0,1,0,1.51
0,44,0.18,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,16641,0,0,0,1,0,0,1,1,0,1.21,0.24,1.84,0.07,1,1,1,1.05
0,51,0.06,0,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,16305,0,0,0,1,0,0,1,1,0,0.5,0.7,1.17,0.01,0,1,0,1.01
0,30,0.07,0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,56317,0,1,0,1,1,0,1,1,0,0.74,0.39,1.75,0.2,1,1,0,1.15
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,17.53,17103,0,0,0,1,0,0,1,1,0,2.62,0.58,1.91,0.3,0,1,1,1.13
0,29,0.03,0,1,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,12.17,104503,0,0,0,1,1,0,1,1,0,1.22,0.37,1.26,0.37,1,1,1,0.65
0,35,0.06,0,1,0,0,83,0,0,0,0,0,0,0,1,0,0,2,0,0,1.62,37200,0,1,0,1,0,0,1,1,0,1.66,0.2,3.5,0.34,0,1,1,0.78
0,34,0.06,0,1,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,11.9,14381,0,0,0,1,0,0,1,1,0,1.4,0.31,1.25,0.29,1,1,1,1.17
0,39,0.03,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,25.62,528,0,0,0,1,0,0,1,1,0,0.0,1.14,1.14,0.19,1,1,0,0.0
0,33,0.06,0,1,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,1,6.8,6796,0,0,0,0,0,0,1,1,0,0.24,0.56,2.16,0.01,1,1,1,0.69
0,30,0.03,0,1,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,12.78,112402,0,0,0,1,1,0,1,1,0,1.23,0.35,1.23,0.35,1,1,1,0.66
0,46,0.04,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,8.07,62686,0,0,1,1,0,1,1,1,0,1.58,0.47,3.25,0.13,0,1,1,1.1
0,41,0.02,0,1,0,0,48,0,0,0,0,0,0,0,1,0,0,1,0,0,17.08,12081,0,0,0,1,0,0,1,1,0,2.83,0.93,1.09,0.14,1,1,1,1.57
0,33,0.06,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,4927,0,0,0,0,0,0,0,1,0,0.2,0.59,2.21,0.0,1,1,1,0.77
0,42,0.14,0,0,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,26.3,10472,0,1,1,1,0,0,1,1,0,0.45,0.16,2.22,0.61,0,0,1,0.62
0,32,0.03,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,78989,0,0,0,1,0,0,1,1,0,0.99,0.66,3.03,0.17,0,1,1,0.55
0,31,0.03,0,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,15.97,14258,0,0,0,1,0,0,1,1,0,1.67,0.41,1.24,0.2,0,1,1,1.07
0,28,0.04,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,13756,0,0,0,1,0,0,1,1,0,1.54,0.63,2.44,0.49,0,1,1,0.66
0,37,0.03,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,5501,0,0,0,1,0,0,1,1,0,2.69,1.09,1.65,0.02,0,1,1,1.49
0,54,0.04,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,22.48,987,0,0,1,0,0,0,0,1,0,3.44,1.72,0.71,0.0,0,1,1,4.15
