Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
1,30,0.03,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,35108,0,0,0,1,0,0,1,1,0,2.02,0.55,3.02,0.28,1,1,1,1.0
1,30,0.03,1,1,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6,54168,0,0,0,1,0,0,1,1,0,2.3,0.5,3.01,0.28,1,1,1,1.1
1,17,0.18,0,0,1,0,32,0,0,1,0,0,0,1,0,0,0,0,0,1,29.65,67880,0,0,1,1,0,0,1,1,0,4.21,0.36,1.32,0.38,1,1,0,1.48
1,32,0.03,0,1,0,0,44,0,0,0,0,0,1,0,1,0,0,1,1,0,24.52,118576,0,0,0,1,0,1,1,1,0,1.28,0.32,2.23,0.31,1,1,1,0.72
1,34,0.35,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,80059,0,0,1,1,0,1,1,1,0,4.17,0.27,2.61,0.48,1,1,1,1.89
1,34,0.35,1,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,78117,0,0,1,1,0,1,1,1,0,4.37,0.29,2.58,0.47,1,1,1,1.83
1,40,0.05,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,10264,0,0,0,1,0,0,1,1,0,1.71,0.82,1.1,0.2,1,1,1,1.54
1,19,0.05,0,0,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,15.38,41924,0,0,1,1,0,0,1,1,0,1.88,0.27,3.86,0.15,0,0,1,0.8
1,29,0.03,0,1,0,0,21,0,0,0,0,0,0,0,1,0,0,1,0,0,13.7,18261,0,0,0,1,0,0,1,1,0,2.56,0.34,1.8,0.3,0,1,0,1.61
1,31,0.03,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,53312,0,1,0,1,0,0,1,1,0,3.56,0.45,2.34,0.42,1,1,1,1.8
1,40,0.05,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,10622,0,0,0,1,0,0,1,1,0,1.66,0.8,1.06,0.2,1,1,1,1.55
